--- Log started at Mon Mar 04 15:50:55 2013

000000.001|  223312.0000kb| 223312.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  223312.0000kb|      0.0000kb added| ALWAYS| Build Version: Version 3.03.0.199 (Feb 28 2013/10:52:38) [PUBLIC] <Releases/3.03_Quinn>
000000.026|  225084.0000kb|   1772.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.026|  225124.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.247/deploy/LolClient.exe" "64.7.194.40 5100 7B+D4gsVyLKb0bQJ9C8ZUQ== <id_removed>"
000000.027|  225152.0000kb|     28.0000kb added| ALWAYS| Started System Init
000000.029|  225904.0000kb|    752.0000kb added| ALWAYS| Maestro Init
000000.032|  226240.0000kb|    336.0000kb added| ALWAYS| Maestro completed init
000000.040|  227272.0000kb|   1032.0000kb added| ALWAYS| StartSession called
000000.040|  227280.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.040|  227312.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.040|  227316.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.040|  227420.0000kb|    104.0000kb added| ALWAYS| r3dRenderLayer::Init(0x009f06b0) enter
000000.061|  237948.0000kb|  10528.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.098|  241116.0000kb|   3168.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.099|  241116.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.099|  241116.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.099|  241116.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.099|  241116.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.176|  252260.0000kb|  11144.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000003.181|  249448.0000kb|  -2812.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.217/deploy/Data/Menu/IMEConfig.xml
000003.186|  249628.0000kb|    180.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.247\deploy\preferences\
000003.186|  249632.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.186|  249632.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.186|  249648.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.186|  249648.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.187|  249648.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.187|  249648.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.187|  249648.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.187|  249648.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.187|  249652.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(30)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(31)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(32)
000003.187|  249652.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(33)
000003.190|  249796.0000kb|    144.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.190|  249816.0000kb|     20.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.707|  260104.0000kb|  10288.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.668|  264192.0000kb|   4088.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.668|  264192.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000004.684|  264192.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(10cdefe0) and resolution (1366 x 768) 
000004.684|  264192.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(10cdefe0) and resolution (683 x 384) 
000004.685|  264196.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000004.782|  269168.0000kb|   4972.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.448|  273292.0000kb|   4124.0000kb added| ALWAYS| Connected
000006.448|  273324.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002bb6739b, PlatformID: NA1
000006.448|  273324.0000kb|      0.0000kb added| ALWAYS| Received client ID
000006.449|  273188.0000kb|   -136.0000kb added| ALWAYS| Set focus to app
000006.449|  273188.0000kb|      0.0000kb added| ALWAYS| Input started
000006.458|  273392.0000kb|    204.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000006.458|  273392.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
